Population Buildings Points
6787000 7445 115102
8104079 5455 35611
10331244 2839 15850
2862244 1045 15463
3437300 3503 13147
7587882 711 11105
8130408 2109 9330
9145711 552 8742
10600060 3023 7857
2481494 1623 6701
4111946 243 5216
1401400 517 5114
5937253 1925 5087
1245000 222 4516
4201500 814 4097
2012626 332 3627
10033478 2099 3578
1644600 628 3520
2965403 1457 3504
377260 424 3196
6300000 113 2990
3559700 439 2885
3845541 456 2795
10391600 488 2763
2598589 740 2749
7172036 1296 2742
583296 527 2653
9341400 209 2561
484176 137 2361
1208318 240 2343
419122 193 2265
7746519 289 2196
3517300 671 2162
11914398 546 2089
744230 365 2052
1470151 334 2007
9875344 729 2007
674100 158 1905
2980513 124 1824
2152467 248 1785
3454000 60 1752
571480 177 1737
418438 231 1732
379724 192 1709
1812723 410 1663
569165 244 1655
933495 212 1639
1449135 384 1534
4550000 78 1441
2719293 163 1414
668927 82 1358
64956 332 1356
1030000 162 1353
453733 296 1329
652412 275 1310
3426506 185 1235
373943 194 1209
6789479 161 1200
1733200 201 1127
386786 55 1112
1720400 43 1097
556835 180 1092
322450 145 1015
534847 98 1009
900198 175 1009
5803622 44 1002
3099834 658 985
2640000 49 947
662954 214 918
4007860 400 810
27236 64 769
3347433 62 763
712507 126 757
2520504 266 752
599484 258 742
2219837 209 728
471075 50 713
1493595 93 702
462269 106 695
1182693 646 693
89104 131 690
460909 371 675
6004782 50 667
774072 279 650
70105 64 632
1690821 186 631
1578546 395 631
371400 198 617
4703954 222 617
72000 49 616
847324 202 615
3472009 313 609
80429 150 609
239097 78 583
612925 202 582
2540000 40 576
2171378 163 574
458684 120 554
594359 54 554
712391 226 546
