City	Population	Buildings	Points
HongKong	6787000	7445	115102
NewYorkCity	8104079	5455	35611
Seoul	10331244	2839	15850
Chicago	2862244	1045	15463
Singapore	3437300	3503	13147
Bangkok	7587882	711	11105
Tokyo	8130408	2109	9330
Shanghai	9145711	552	8742
SaoPaulo	10600060	3023	7857
Toronto	2481494	1623	6701
Guangzhou	4111946	243	5216
KualaLumpur	1401400	517	5114
RiodeJaneiro	5937253	1925	5087
Shenzhen	1245000	222	4516
Sydney	4201500	814	4097
Houston	2012626	332	3627
Istanbul	10033478	2099	3578
Curitiba	1644600	628	3520
BuenosAires	2965403	1457	3504
Honolulu	377260	424	3196
Chongqing	6300000	113	2990
Melbourne	3559700	439	2885
LosAngeles	3845541	456	2795
Moscow	10391600	488	2763
Osaka	2598589	740	2749
London	7172036	1296	2742
Vancouver	583296	527	2653
Jakarta	9341400	209	2561
Makati	484176	137	2361
Dallas	1208318	240	2343
Atlanta	419122	193	2265
Beijing	7746519	289	2196
Caracas	3517300	671	2162
Mumbai	11914398	546	2089
SanFrancisco	744230	365	2052
Philadelphia	1470151	334	2007
MexicoCity	9875344	729	2007
Dubai	674100	158	1905
Dalian	2980513	124	1824
Paris	2152467	248	1785
Nanjing	3454000	60	1752
Seattle	571480	177	1737
GoldCoastCity	418438	231	1732
Miami	379724	192	1709
Montreal	1812723	410	1663
Boston	569165	244	1655
Calgary	933495	212	1639
Recife	1449135	384	1534
Wuhan	4550000	78	1441
Taipei	2719293	163	1414
PanamaCity	668927	82	1358
Benidorm	64956	332	1356
PenangIsland	1030000	162	1353
Macao	453733	296	1329
Frankfurt	652412	275	1310
Yokohama	3426506	185	1235
Minneapolis	373943	194	1209
Cairo	6789479	161	1200
Brisbane	1733200	201	1127
Xiamen	386786	55	1112
Kaohsiung	1720400	43	1097
Denver	556835	180	1092
Pittsburgh	322450	145	1015
LasVegas	534847	98	1009
Detroit	900198	175	1009
Tianjin	5803622	44	1002
Madrid	3099834	658	985
Qingdao	2640000	49	947
Glasgow	662954	214	918
Ankara	4007860	400	810
Aventura	27236	64	769
Chengdu	3347433	62	763
Johannesburg	712507	126	757
Salvador	2520504	266	752
Rotterdam	599484	258	742
Fortaleza	2219837	209	728
Pasig	471075	50	713
Kobe	1493595	93	702
NewOrleans	462269	106	695
Milan	1182693	646	693
MiamiBeach	89104	131	690
Londrina	460909	371	675
Bogota	6004782	50	667
Ottawa	774072	279	650
Courbevoie	70105	64	632
Warsaw	1690821	186	631
Barcelona	1578546	395	631
TelAvivYaffo	371400	198	617
Santiago	4703954	222	617
Pattaya	72000	49	616
Durban	847324	202	615
Berlin	3472009	313	609
BalnearioCamboriu	80429	150	609
JerseyCity	239097	78	583
Mississauga	612925	202	582
Jinan	2540000	40	576
Nagoya	2171378	163	574
Cleveland	458684	120	554
Charlotte	594359	54	554
Edmonton	712391	226	546
