年	货运量	年	货运量	年	货运量
1949	5589	1969	53120	1989	151489
1950	9983	1970	68132	1990	150681
1951	11083	1971	76471	1991	152893
1952	13217	1972	80873	1992	157627
1953	16131	1973	83111	1993	162794
1954	19288	1974	78772	1994	163216
1955	19376	1975	88955	1995	165982
1956	24605	1976	84066	1996	171024
1957	27421	1977	95309	1997	172149
1958	38109	1978	110119	1998	164309
1959	54410	1979	111893	1999	167554
1960	67219	1980	111279	2000	178581
1961	44988	1981	107673	2001	193189
1962	35261	1982	113495	2002	204956
1963	36418	1983	118784	2003	224248
1964	41786	1984	124074	2004	249017
1965	49100	1985	130709	2005	269296
1966	54951	1986	135635	2006	288224
1967	43089	1987	140653	2007	314237
1968	42095	1988	144948	2008	330354
