年	出生率	年	出生率	年	出生率	年	出生率
1750	9	1775	10	1800	4	1825	16
1751	12	1776	10	1801	3	1826	12
1752	8	1777	8	1802	7	1827	8
1753	12	1778	8	1803	7	1828	7
1754	10	1779	9	1804	6	1829	6
1755	10	1780	14	1805	8	1830	9
1756	8	1781	7	1806	3	1831	4
1757	2	1782	4	1807	4	1832	7
1758	0	1783	1	1808	-5	1833	12
1759	7	1784	1	1809	-14	1834	8
1760	10	1785	2	1810	1	1835	14
1761	9	1786	6	1811	6	1836	11
1762	4	1787	7	1812	3	1837	5
1763	1	1788	7	1813	2	1838	5
1764	7	1789	-2	1814	6	1839	5
1765	5	1790	-1	1815	1	1840	10
1766	8	1791	7	1816	13	1841	11
1767	9	1792	12	1817	10	1842	11
1768	5	1793	10	1818	10	1843	9
1769	5	1794	10	1819	6	1844	12
1770	6	1795	4	1820	9	1845	13
1771	4	1796	9	1821	10	1846	8
1772	-9	1797	10	1822	13	1847	6
1773	-27	1798	9	1823	16	1848	10
1774	12	1799	5	1824	14	1849	13
