"year","yield","ln_yield"
1884,15.2,2.72129542785223
1885,16.9,2.82731362192903
1886,15.3,2.72785282839839
1887,14.9,2.70136121295141
1888,15.7,2.75366071235426
1889,15.1,2.71469474382088
1890,16.7,2.81540871942271
1891,16.3,2.79116510781272
1892,16.5,2.80336038090653
1893,13.3,2.58776403522771
1894,16.5,2.80336038090653
1895,15,2.70805020110221
1896,15.9,2.76631910922619
1897,15.5,2.7408400239252
1898,16.9,2.82731362192903
1899,16.4,2.79728133483015
1900,14.9,2.70136121295141
1901,14.5,2.67414864942653
1902,16.6,2.8094026953625
1903,15.1,2.71469474382088
1904,14.6,2.68102152871429
1905,16,2.77258872223978
1906,16.8,2.82137888640921
1907,16.8,2.82137888640921
1908,15.5,2.7408400239252
1909,17.3,2.85070650150373
1910,15.5,2.7408400239252
1911,15.5,2.7408400239252
1912,14.2,2.65324196460721
1913,15.8,2.76000994003292
1914,15.7,2.75366071235426
1915,14.1,2.64617479738412
1916,14.8,2.69462718077007
1917,14.4,2.66722820658195
1918,15.6,2.74727091425549
1919,13.9,2.63188884013665
1920,14.7,2.68784749378469
1921,14.3,2.66025953726586
1922,14,2.63905732961526
1923,14.5,2.67414864942653
1924,15.4,2.73436750941958
1925,15.3,2.72785282839839
1926,16,2.77258872223978
1927,16.4,2.79728133483015
1928,17.2,2.84490938381941
1929,17.8,2.87919845729804
1930,14.4,2.66722820658195
1931,15,2.70805020110221
1932,16,2.77258872223978
1933,16.8,2.82137888640921
1934,16.9,2.82731362192903
1935,16.6,2.8094026953625
1936,16.2,2.78501124223834
1937,14,2.63905732961526
1938,18.1,2.89591193827178
1939,17.5,2.86220088092947
