year,change_temp
1880,-0.4
1881,-0.37
1882,-0.43
1883,-0.47
1884,-0.72
1885,-0.54
1886,-0.47
1887,-0.54
1888,-0.39
1889,-0.19
1890,-0.4
1891,-0.44
1892,-0.44
1893,-0.49
1894,-0.38
1895,-0.41
1896,-0.27
1897,-0.18
1898,-0.38
1899,-0.22
1900,-0.03
1901,-0.09
1902,-0.28
1903,-0.36
1904,-0.49
1905,-0.25
1906,-0.17
1907,-0.45
1908,-0.32
1909,-0.33
1910,-0.32
1911,-0.29
1912,-0.32
1913,-0.25
1914,-0.05
1915,-0.01
1916,-0.26
1917,-0.48
1918,-0.37
1919,-0.2
1920,-0.15
1921,-0.08
1922,-0.14
1923,-0.13
1924,-0.12
1925,-0.1
1926,0.13
1927,-0.01
1928,0.06
1929,-0.17
1930,-0.01
1931,0.09
1932,0.05
1933,-0.16
1934,0.05
1935,-0.02
1936,0.04
1937,0.17
1938,0.19
1939,0.05
1940,0.15
1941,0.13
1942,0.09
1943,0.04
1944,0.11
1945,-0.03
1946,0.03
1947,0.15
1948,0.04
1949,-0.02
1950,-0.1
1951,0.02
1952,0.07
1953,0.2
1954,-0.03
1955,-0.07
1956,-0.19
1957,0.09
1958,0.11
1959,0.06
1960,0.01
1961,0.08
1962,0.02
1963,0.02
1964,-0.27
1965,-0.18
1966,-0.09
1967,-0.02
1968,-0.13
1969,0.02
1970,0.03
1971,-0.12
1972,-0.08
1973,0.17
1974,-0.09
1975,-0.04
1976,-0.24
1977,-0.16
1978,-0.09
1979,0.12
1980,0.27
1981,0.42
1982,0.02
1983,0.3
1984,0.09
1985,0.05
