year,output
1949,0.6
1950,1.5
1951,2.8
1952,3.9
1953,5
1954,6.7
1955,7.9
1956,11.1
1957,15.1
1958,19.4
1959,26.6
1960,40.5
1961,29.7
1962,46.4
1963,64.8
1964,100.8
1965,172.6
1966,240.9
1967,164.1
1968,110.9
1969,174.9
1970,243.5
1971,299.4
1972,370.1
1973,459.2
1974,422.2
1975,524.7
1976,524.4
1977,723.8
1978,869.3
1979,1065.4
1980,1232.1
1981,1239
1982,1278.1
1983,1378.9
1984,1460.2
1985,1322.2
1986,1395.7
1987,1672.2
1988,1740.2
1989,1802.5
1990,1879.7
1991,1979.5
1992,2047.9
1993,1956.3
1994,2272.8
1995,2548.1
1996,2809
1997,2821
1998,3010
1999,3251
2000,3186
2001,3383
2002,3791
2003,3881.31
2004,4804.8
2005,5177.9
2006,5345.1
2007,5825
2008,6012.7
