time,sales
1993年1月,977.5
1993年2月,892.5
1993年3月,942.3
1993年4月,941.3
1993年5月,962.2
1993年6月,1005.7
1993年7月,963.8
1993年8月,959.8
1993年9月,1023.3
1993年10月,1051.1
1993年11月,1102
1993年12月,1415.5
1994年1月,1192.2
1994年2月,1162.7
1994年3月,1167.5
1994年4月,1170.4
1994年5月,1213.7
1994年6月,1281.1
1994年7月,1251.5
1994年8月,1286
1994年9月,1396.2
1994年10月,1444.1
1994年11月,1553.8
1994年12月,1932.2
1995年1月,1602.2
1995年2月,1491.5
1995年3月,1533.3
1995年4月,1548.7
1995年5月,1585.4
1995年6月,1639.7
1995年7月,1623.6
1995年8月,1637.1
1995年9月,1756
1995年10月,1818
1995年11月,1935.2
1995年12月,2389.5
1996年1月,1909.1
1996年2月,1911.2
1996年3月,1860.1
1996年4月,1854.8
1996年5月,1898.3
1996年6月,1966
1996年7月,1888.7
1996年8月,1916.4
1996年9月,2083.5
1996年10月,2148.3
1996年11月,2290.1
1996年12月,2848.6
1997年1月,2288.5
1997年2月,2213.5
1997年3月,2130.9
1997年4月,2100.5
1997年5月,2108.2
1997年6月,2164.7
1997年7月,2102.5
1997年8月,2104.4
1997年9月,2239.6
1997年10月,2348
1997年11月,2454.9
1997年12月,2881.7
1998年1月,2549.5
1998年2月,2306.4
1998年3月,2279.7
1998年4月,2252.7
1998年5月,2265.2
1998年6月,2326
1998年7月,2286.1
1998年8月,2314.6
1998年9月,2443.1
1998年10月,2536
1998年11月,2652.2
1998年12月,3131.4
1999年1月,2662.1
1999年2月,2538.4
1999年3月,2403.1
1999年4月,2356.8
1999年5月,2364
1999年6月,2428.8
1999年7月,2380.3
1999年8月,2410.9
1999年9月,2604.3
1999年10月,2743.9
1999年11月,2781.5
1999年12月,3405.7
2000年1月,2774.7
2000年2月,2805
2000年3月,2627
2000年4月,2572
2000年5月,2637
2000年6月,2645
2000年7月,2597
2000年8月,2636
2000年9月,2854
2000年10月,3029
2000年11月,3108
2000年12月,3680
