time,export
1-Jan,21986149
1-Feb,16926471
1-Mar,19198624
1-Apr,23139003
1-May,22792181
1-Jun,20813507
1-Jul,22081032
1-Aug,22887692
1-Sep,23540123
1-Oct,23989367
1-Nov,22790526
1-Dec,24000007
2-Jan,24502579
2-Feb,21703291
2-Mar,19137164
2-Apr,23817766
2-May,26723688
2-Jun,24644182
2-Jul,26012762
2-Aug,29209981
2-Sep,29437423
2-Oct,31910755
2-Nov,29946376
2-Dec,31209190
3-Jan,31889489
3-Feb,29775788
3-Mar,24455585
3-Apr,32091277
3-May,35617074
3-Jun,33842228
3-Jul,34475859
3-Aug,38109608
3-Sep,37415036
3-Oct,41940698
3-Nov,40925906
3-Dec,41761968
4-Jan,48061529
4-Feb,35712196
4-Mar,34157738
4-Apr,45847915
4-May,47124115
4-Jun,44867889
4-Jul,50496344
4-Aug,51003919
4-Sep,51400194
4-Oct,55803041
4-Nov,52523879
4-Dec,60925461
5-Jan,63784483
5-Feb,50755189
5-Mar,44273164
5-Apr,60869119
5-May,62151250
5-Jun,58426919
5-Jul,65959601
5-Aug,65584266
5-Sep,68399603
5-Oct,70185509
5-Nov,68092010
5-Dec,72217762
6-Jan,75412367
6-Feb,64988815
6-Mar,54108294
6-Apr,78045837
6-May,76948177
6-Jun,73113881
6-Jul,81311219
6-Aug,80337153
6-Sep,90766001
6-Oct,91629488
6-Nov,88127371
6-Dec,95854497
7-Jan,94094055
7-Feb,86619731
7-Mar,82095593
7-Apr,83424155
7-May,97449955
7-Jun,94065041
7-Jul,103268286
7-Aug,107744104
7-Sep,111354781
7-Oct,112373049
7-Nov,107723989
7-Dec,117620807
8-Jan,114415986
8-Feb,109640030
8-Mar,87367796
8-Apr,108962891
8-May,118771084
8-Jun,120496491
8-Jul,121179554
8-Aug,136675046
8-Sep,134872675
8-Oct,136432088
8-Nov,128327028
8-Dec,114987285
9-Jan,111157222
9-Feb,90453600
9-Mar,64894649
9-Apr,90290547
9-May,91934722
9-Jun,88757886
9-Jul,95411208
9-Aug,105420240
9-Sep,103707009
9-Oct,115937994
9-Nov,110762383
9-Dec,113653429
10-Jan,130723881
10-Feb,109475299
10-Mar,94522714
10-Apr,112111793
10-May,119920666
10-Jun,131760663
10-Jul,137395578
10-Aug,145519322
10-Sep,139302230
10-Oct,144985285
10-Nov,135978419
10-Dec,153325762
11-Jan,154148895
11-Feb,150734151
11-Mar,96736127
11-Apr,152199071
11-May,155684084
11-Jun,157157191
11-Jul,161980774
11-Aug,175128036
11-Sep,173315697
11-Oct,169673012
11-Nov,157490772
11-Dec,174464123
12-Jan,174717651
12-Feb,149939113
12-Mar,114470693
12-Apr,165658100
12-May,163251712
12-Jun,181140762
12-Jul,180204470
12-Aug,176940032
12-Sep,177973297
12-Oct,186349509
12-Nov,175571102
12-Dec,179380767
13-Jan,199229682
13-Feb,187365572
13-Mar,139367235
13-Apr,182189999
13-May,187061474
13-Jun,182766116
13-Jul,174315796
13-Aug,185991317
13-Sep,190608317
13-Oct,185643576
13-Nov,185405576
13-Dec,202204803
14-Jan,207742423
14-Feb,207132123
14-Mar,114093694
14-Apr,170107988
14-May,188540548
14-Jun,195472920
14-Jul,186788537
14-Aug,212891063
14-Sep,208465863
14-Oct,213687462
14-Nov,206866715
