time,unemployment_rate
Jan-48,446
Feb-48,650
Mar-48,592
Apr-48,561
May-48,491
Jun-48,592
Jul-48,604
Aug-48,635
Sep-48,580
Oct-48,510
Nov-48,553
Dec-48,554
Jan-49,628
Feb-49,708
Mar-49,629
Apr-49,724
May-49,820
Jun-49,865
Jul-49,1007
Aug-49,1025
Sep-49,955
Oct-49,889
Nov-49,965
Dec-49,878
Jan-50,1103
Feb-50,1092
Mar-50,978
Apr-50,823
May-50,827
Jun-50,928
Jul-50,838
Aug-50,720
Sep-50,756
Oct-50,658
Nov-50,838
Dec-50,684
Jan-51,779
Feb-51,754
Mar-51,794
Apr-51,681
May-51,658
Jun-51,644
Jul-51,622
Aug-51,588
Sep-51,720
Oct-51,670
Nov-51,746
Dec-51,616
Jan-52,646
Feb-52,678
Mar-52,552
Apr-52,560
May-52,578
Jun-52,514
Jul-52,541
Aug-52,576
Sep-52,522
Oct-52,530
Nov-52,564
Dec-52,442
Jan-53,520
Feb-53,484
Mar-53,538
Apr-53,454
May-53,404
Jun-53,424
Jul-53,432
Aug-53,458
Sep-53,556
Oct-53,506
Nov-53,633
Dec-53,708
Jan-54,1013
Feb-54,1031
Mar-54,1101
Apr-54,1061
May-54,1048
Jun-54,1005
Jul-54,987
Aug-54,1006
Sep-54,1075
Oct-54,854
Nov-54,1008
Dec-54,777
Jan-55,982
Feb-55,894
Mar-55,795
Apr-55,799
May-55,781
Jun-55,776
Jul-55,761
Aug-55,839
Sep-55,842
Oct-55,811
Nov-55,843
Dec-55,753
Jan-56,848
Feb-56,756
Mar-56,848
Apr-56,828
May-56,857
Jun-56,838
Jul-56,986
Aug-56,847
Sep-56,801
Oct-56,739
Nov-56,865
Dec-56,767
Jan-57,941
Feb-57,846
Mar-57,768
Apr-57,709
May-57,798
Jun-57,831
Jul-57,833
Aug-57,798
Sep-57,806
Oct-57,771
Nov-57,951
Dec-57,799
Jan-58,1156
Feb-58,1332
Mar-58,1276
Apr-58,1373
May-58,1325
Jun-58,1326
Jul-58,1314
Aug-58,1343
Sep-58,1225
Oct-58,1133
Nov-58,1075
Dec-58,1023
Jan-59,1266
Feb-59,1237
Mar-59,1180
Apr-59,1046
May-59,1010
Jun-59,1010
Jul-59,1046
Aug-59,985
Sep-59,971
Oct-59,1037
Nov-59,1026
Dec-59,947
Jan-60,1097
Feb-60,1018
Mar-60,1054
Apr-60,978
May-60,955
Jun-60,1067
Jul-60,1132
Aug-60,1092
Sep-60,1019
Oct-60,1110
Nov-60,1262
Dec-60,1174
Jan-61,1391
Feb-61,1533
Mar-61,1479
Apr-61,1411
May-61,1370
Jun-61,1486
Jul-61,1451
Aug-61,1309
Sep-61,1316
Oct-61,1319
Nov-61,1233
Dec-61,1113
Jan-62,1363
Feb-62,1245
Mar-62,1205
Apr-62,1084
May-62,1048
Jun-62,1131
Jul-62,1138
Aug-62,1271
Sep-62,1244
Oct-62,1139
Nov-62,1205
Dec-62,1030
Jan-63,1300
Feb-63,1319
Mar-63,1198
Apr-63,1147
May-63,1140
Jun-63,1216
Jul-63,1200
Aug-63,1271
Sep-63,1254
Oct-63,1203
Nov-63,1272
Dec-63,1073
Jan-64,1375
Feb-64,1400
Mar-64,1322
Apr-64,1214
May-64,1096
Jun-64,1198
Jul-64,1132
Aug-64,1193
Sep-64,1163
Oct-64,1120
Nov-64,1164
Dec-64,966
Jan-65,1154
Feb-65,1306
Mar-65,1123
Apr-65,1033
May-65,940
Jun-65,1151
Jul-65,1013
Aug-65,1105
Sep-65,1011
Oct-65,963
Nov-65,1040
Dec-65,838
Jan-66,1012
Feb-66,963
Mar-66,888
Apr-66,840
May-66,880
Jun-66,939
Jul-66,868
Aug-66,1001
Sep-66,956
Oct-66,966
Nov-66,896
Dec-66,843
Jan-67,1180
Feb-67,1103
Mar-67,1044
Apr-67,972
May-67,897
Jun-67,1103
Jul-67,1056
Aug-67,1055
Sep-67,1287
Oct-67,1231
Nov-67,1076
Dec-67,929
Jan-68,1105
Feb-68,1127
Mar-68,988
Apr-68,903
May-68,845
Jun-68,1020
Jul-68,994
Aug-68,1036
Sep-68,1050
Oct-68,977
Nov-68,956
Dec-68,818
Jan-69,1031
Feb-69,1061
Mar-69,964
Apr-69,967
May-69,867
Jun-69,1058
Jul-69,987
Aug-69,1119
Sep-69,1202
Oct-69,1097
Nov-69,994
Dec-69,840
Jan-70,1086
Feb-70,1238
Mar-70,1264
Apr-70,1171
May-70,1206
Jun-70,1303
Jul-70,1393
Aug-70,1463
Sep-70,1601
Oct-70,1495
Nov-70,1561
Dec-70,1404
Jan-71,1705
Feb-71,1739
Mar-71,1667
Apr-71,1599
May-71,1516
Jun-71,1625
Jul-71,1629
Aug-71,1809
Sep-71,1831
Oct-71,1665
Nov-71,1659
Dec-71,1457
Jan-72,1707
Feb-72,1607
Mar-72,1616
Apr-72,1522
May-72,1585
Jun-72,1657
Jul-72,1717
Aug-72,1789
Sep-72,1814
Oct-72,1698
Nov-72,1481
Dec-72,1330
Jan-73,1646
Feb-73,1596
Mar-73,1496
Apr-73,1386
May-73,1302
Jun-73,1524
Jul-73,1547
Aug-73,1632
Sep-73,1668
Oct-73,1421
Nov-73,1475
Dec-73,1396
Jan-74,1706
Feb-74,1715
Mar-74,1586
Apr-74,1477
May-74,1500
Jun-74,1648
Jul-74,1745
Aug-74,1856
Sep-74,2067
Oct-74,1856
Nov-74,2104
Dec-74,2061
Jan-75,2809
Feb-75,2783
Mar-75,2748
Apr-75,2642
May-75,2628
Jun-75,2714
Jul-75,2699
Aug-75,2776
Sep-75,2795
Oct-75,2673
Nov-75,2558
Dec-75,2394
Jan-76,2784
Feb-76,2751
Mar-76,2521
