time,yield_rate
Apr-63,0.00238
May-63,0.00238
Jun-63,0.00236
Jul-63,0.0025
Aug-63,0.00254
Sep-63,0.0026
Oct-63,0.00285
Nov-63,0.00281
Dec-63,0.00241
Jan-64,0.00288
Feb-64,0.00287
Mar-64,0.00292
Apr-64,0.00294
May-64,0.00273
Jun-64,0.00271
Jul-64,0.00282
Aug-64,0.00267
Sep-64,0.00273
Oct-64,0.00293
Nov-64,0.00285
Dec-64,0.00296
Jan-65,0.00281
Feb-65,0.00326
Mar-65,0.00321
Apr-65,0.00315
May-65,0.00319
Jun-65,0.00313
Jul-65,0.00313
Aug-65,0.00319
Sep-65,0.00313
Oct-65,0.0033
Nov-65,0.00319
Dec-65,0.00315
Jan-66,0.00355
Feb-66,0.0037
Mar-66,0.00371
Apr-66,0.00364
May-66,0.00381
Jun-66,0.00372
Jul-66,0.00368
Aug-66,0.00374
Sep-66,0.00389
Oct-66,0.00415
Nov-66,0.00389
Dec-66,0.00343
Jan-67,0.00377
Feb-67,0.00368
Mar-67,0.00364
Apr-67,0.00338
May-67,0.00283
Jun-67,0.00271
Jul-67,0.003
Aug-67,0.00309
Sep-67,0.00317
Oct-67,0.00343
Nov-67,0.00347
Dec-67,0.00355
Jan-68,0.0036
Feb-68,0.00398
Mar-68,0.00385
Apr-68,0.00389
May-68,0.00444
Jun-68,0.00453
Jul-68,0.00444
Aug-68,0.00432
Sep-68,0.00406
Oct-68,0.00432
Nov-68,0.00461
Dec-68,0.00398
Jan-69,0.005
Feb-69,0.00487
Mar-69,0.0047
Apr-69,0.00432
May-69,0.00508
Jun-69,0.00478
Jul-69,0.00508
Aug-69,0.00593
Sep-69,0.0055
Oct-69,0.00593
Nov-69,0.00542
Dec-69,0.0054
Jan-70,0.0054
Feb-70,0.00631
Mar-70,0.00534
Apr-70,0.00546
May-70,0.00542
Jun-70,0.00546
Jul-70,0.00495
Aug-70,0.005
Sep-70,0.00508
Oct-70,0.00483
Nov-70,0.00444
Dec-70,0.00377
Jan-71,0.00355
Feb-71,0.00338
Mar-71,0.00264
Apr-71,0.00283
May-71,0.00305
Jun-71,0.00338
Jul-71,0.00406
