month,returns,,,,,,,,
1926-01,0.0225,,,,,,,,
1926-02,-0.044,,,,,,,,
1926-03,-0.0591,,,,,,,,
1926-04,0.0227,,,,,,,,
1926-05,0.0077,,,,,,,,
1926-06,0.0432,,,,,,,,
1926-07,0.0455,,,,,,,,
1926-08,0.0171,,,,,,,,
1926-09,0.0229,,,,,,,,
1926-10,-0.0313,,,,,,,,
1926-11,0.0223,,,,,,,,
1926-12,0.0166,,,,,,,,
1927-01,-0.0208,,,,,,,,
1927-02,0.0477,,,,,,,,
1927-03,0.0065,,,,,,,,
1927-04,0.0172,,,,,,,,
1927-05,0.0522,,,,,,,,
1927-06,-0.0094,,,,,,,,
1927-07,0.065,,,,,,,,
1927-08,0.0445,,,,,,,,
1927-09,0.0432,,,,,,,,
1927-10,-0.0531,,,,,,,,
1927-11,0.0678,,,,,,,,
1927-12,0.019,,,,,,,,
1928-01,-0.0051,,,,,,,,
1928-02,-0.0176,,,,,,,,
1928-03,0.1083,,,,,,,,
1928-04,0.0324,,,,,,,,
1928-05,0.0127,,,,,,,,
1928-06,-0.0405,,,,,,,,
1928-07,0.0125,,,,,,,,
1928-08,0.0741,,,,,,,,
1928-09,0.024,,,,,,,,
1928-10,0.0145,,,,,,,,
1928-11,0.1199,,,,,,,,
1928-12,0.0029,,,,,,,,
1929-01,0.0571,,,,,,,,
1929-02,-0.0058,,,,,,,,
1929-03,-0.0023,,,,,,,,
1929-04,0.0161,,,,,,,,
1929-05,-0.0428,,,,,,,,
1929-06,0.1124,,,,,,,,
1929-07,0.0456,,,,,,,,
1929-08,0.098,,,,,,,,
1929-09,-0.0489,,,,,,,,
1929-10,-0.1993,,,,,,,,
1929-11,-0.1337,,,,,,,,
1929-12,0.0253,,,,,,,,
1930-01,0.0625,,,,,,,,
1930-02,0.0215,,,,,,,,
1930-03,0.0799,,,,,,,,
1930-04,-0.0095,,,,,,,,
1930-05,-0.0165,,,,,,,,
1930-06,-0.1646,,,,,,,,
1930-07,0.0367,,,,,,,,
1930-08,0.0075,,,,,,,,
1930-09,-0.1301,,,,,,,,
1930-10,-0.0888,,,,,,,,
1930-11,-0.0218,,,,,,,,
1930-12,-0.0742,,,,,,,,
1931-01,0.0489,,,,,,,,
1931-02,0.1144,,,,,,,,
1931-03,-0.0692,,,,,,,,
1931-04,-0.0959,,,,,,,,
1931-05,-0.1372,,,,,,,,
