output,input,,,,
53.8,-0.109,,,,
53.6,0,,,,
53.5,0.178,,,,
53.5,0.339,,,,
53.4,0.373,,,,
53.1,0.441,,,,
52.7,0.461,,,,
52.4,0.348,,,,
52.2,0.127,,,,
52,-0.18,,,,
52,-0.588,,,,
52.4,-1.055,,,,
53,-1.421,,,,
54,-1.52,,,,
54.9,-1.302,,,,
56,-0.814,,,,
56.8,-0.475,,,,
56.8,-0.193,,,,
56.4,0.088,,,,
55.7,0.435,,,,
55,0.771,,,,
54.3,0.866,,,,
53.2,0.875,,,,
52.3,0.891,,,,
51.6,0.987,,,,
51.2,1.263,,,,
50.8,1.775,,,,
50.5,1.976,,,,
50,1.934,,,,
49.2,1.866,,,,
48.4,1.832,,,,
47.9,1.767,,,,
47.6,1.608,,,,
47.5,1.265,,,,
47.5,0.79,,,,
47.6,0.36,,,,
48.1,0.115,,,,
49,0.088,,,,
50,0.331,,,,
51.1,0.645,,,,
51.8,0.96,,,,
51.9,1.409,,,,
51.7,2.67,,,,
51.2,2.834,,,,
50,2.812,,,,
48.3,2.483,,,,
47,1.929,,,,
45.8,1.485,,,,
45.6,1.214,,,,
46,1.239,,,,
46.9,1.608,,,,
47.8,1.905,,,,
48.2,2.023,,,,
48.3,1.815,,,,
47.9,0.535,,,,
47.2,0.122,,,,
47.2,0.009,,,,
48.1,0.164,,,,
49.4,0.671,,,,
50.6,1.019,,,,
51.5,1.146,,,,
51.6,1.155,,,,
51.2,1.112,,,,
50.5,1.121,,,,
50.1,1.223,,,,
49.8,1.257,,,,
49.6,1.157,,,,
49.4,0.913,,,,
49.3,0.62,,,,
49.2,0.255,,,,
49.3,-0.28,,,,
49.7,-1.08,,,,
50.3,-1.551,,,,
51.3,-1.799,,,,
52.8,-1.825,,,,
54.4,-1.456,,,,
56,-0.944,,,,
56.9,-0.57,,,,
57.5,-0.431,,,,
57.3,-0.577,,,,
56.6,-0.96,,,,
56,-1.616,,,,
55.4,-1.875,,,,
55.4,-1.891,,,,
56.4,-1.746,,,,
57.2,-1.474,,,,
58,-1.201,,,,
58.4,-0.927,,,,
58.4,-0.524,,,,
58.1,0.04,,,,
57.7,0.788,,,,
57,0.943,,,,
56,0.93,,,,
54.7,1.006,,,,
53.2,1.137,,,,
52.1,1.198,,,,
51.6,1.054,,,,
51,0.595,,,,
50.5,-0.08,,,,
50.4,-0.314,,,,
51,-0.288,,,,
51.8,-0.153,,,,
52.4,-0.109,,,,
53,-0.187,,,,
53.4,-0.255,,,,
53.6,-0.229,,,,
53.7,-0.007,,,,
53.8,0.254,,,,
53.8,0.33,,,,
53.8,0.102,,,,
53.3,-0.423,,,,
53,-1.139,,,,
52.9,-2.275,,,,
53.4,-2.594,,,,
54.6,-2.716,,,,
56.4,-2.51,,,,
58,-1.79,,,,
59.4,-1.346,,,,
60.2,-1.081,,,,
60,-0.91,,,,
59.4,-0.876,,,,
58.4,-0.885,,,,
57.6,-0.8,,,,
56.9,-0.544,,,,
56.4,-0.416,,,,
56,-0.271,,,,
55.7,0,,,,
55.3,0.403,,,,
55,0.841,,,,
54.4,1.285,,,,
53.7,1.607,,,,
52.8,1.746,,,,
51.6,1.683,,,,
50.6,1.485,,,,
49.4,0.993,,,,
48.8,0.648,,,,
48.5,0.577,,,,
48.7,0.577,,,,
49.2,0.632,,,,
49.8,0.747,,,,
50.4,0.9,,,,
50.7,0.993,,,,
50.9,0.968,,,,
50.7,0.79,,,,
50.5,0.399,,,,
50.4,-0.161,,,,
50.2,-0.553,,,,
50.4,-0.603,,,,
51.2,-0.424,,,,
52.3,-0.194,,,,
53.2,-0.049,,,,
53.9,0.06,,,,
54.1,0.161,,,,
54,0.301,,,,
53.6,0.517,,,,
53.2,0.566,,,,
53,0.56,,,,
52.8,0.573,,,,
52.3,0.592,,,,
51.9,0.671,,,,
51.6,0.933,,,,
51.6,1.337,,,,
51.4,1.46,,,,
51.2,1.353,,,,
50.7,0.772,,,,
50,0.218,,,,
49.4,-0.237,,,,
49.3,-0.714,,,,
49.7,-1.099,,,,
50.6,-1.269,,,,
51.8,-1.175,,,,
53,-0.676,,,,
54,0.033,,,,
55.3,0.556,,,,
55.9,0.643,,,,
55.9,0.484,,,,
54.6,0.109,,,,
53.5,-0.31,,,,
52.4,-0.697,,,,
52.1,-1.047,,,,
52.3,-1.218,,,,
53,-1.183,,,,
53.8,-0.873,,,,
54.6,-0.336,,,,
55.4,0.063,,,,
55.9,0.084,,,,
55.9,0,,,,
55.2,0.001,,,,
54.4,0.209,,,,
53.7,0.556,,,,
53.6,0.782,,,,
53.6,0.858,,,,
53.2,0.918,,,,
52.5,0.862,,,,
52,0.416,,,,
51.4,-0.336,,,,
51,-0.959,,,,
50.9,-1.813,,,,
52.4,-2.378,,,,
53.5,-2.499,,,,
55.6,-2.473,,,,
58,-2.33,,,,
59.5,-2.053,,,,
60,-1.739,,,,
60.4,-1.261,,,,
60.5,-0.569,,,,
60.2,-0.137,,,,
59.7,-0.024,,,,
59,-0.05,,,,
57.6,-0.135,,,,
56.4,-0.276,,,,
55.2,-0.534,,,,
54.5,-0.871,,,,
54.1,-1.243,,,,
54.1,-1.439,,,,
54.4,-1.422,,,,
55.5,-1.175,,,,
56.2,-0.813,,,,
57,-0.634,,,,
57.3,-0.582,,,,
57.4,-0.625,,,,
57,-0.713,,,,
56.4,-0.848,,,,
55.9,-1.039,,,,
55.5,-1.346,,,,
55.3,-1.628,,,,
55.2,-1.619,,,,
55.4,-1.149,,,,
56,-0.488,,,,
56.5,-0.16,,,,
57.1,-0.007,,,,
57.3,-0.092,,,,
56.8,-0.62,,,,
55.6,-1.086,,,,
55,-1.525,,,,
54.1,-1.858,,,,
54.3,-2.029,,,,
55.3,-2.024,,,,
56.4,-1.961,,,,
57.2,-1.952,,,,
57.8,-1.794,,,,
58.3,-1.302,,,,
58.6,-1.03,,,,
58.8,-0.918,,,,
58.8,-0.798,,,,
58.6,-0.867,,,,
58,-1.047,,,,
57.4,-1.123,,,,
57,-0.876,,,,
56.4,-0.395,,,,
56.3,0.185,,,,
56.4,0.662,,,,
56.4,0.709,,,,
56,0.605,,,,
55.2,0.501,,,,
54,0.603,,,,
53,0.943,,,,
52,1.223,,,,
51.6,1.249,,,,
51.6,0.824,,,,
51.1,0.102,,,,
50.4,0.025,,,,
50,0.382,,,,
50,0.922,,,,
52,1.032,,,,
54,0.866,,,,
55.1,0.527,,,,
54.5,0.093,,,,
52.8,-0.458,,,,
51.4,-0.748,,,,
50.8,-0.947,,,,
51.2,-1.029,,,,
52,-0.928,,,,
52.8,-0.645,,,,
53.8,-0.424,,,,
54.5,-0.276,,,,
54.9,-0.158,,,,
54.9,-0.033,,,,
54.8,0.102,,,,
54.4,0.251,,,,
53.7,0.28,,,,
53.3,0,,,,
52.8,-0.493,,,,
52.6,-0.759,,,,
52.6,-0.824,,,,
53,-0.74,,,,
54.3,-0.528,,,,
56,-0.204,,,,
57,0.034,,,,
58,0.204,,,,
58.6,0.253,,,,
58.5,0.195,,,,
58.3,0.131,,,,
57.8,0.017,,,,
57.3,-0.182,,,,
57,-0.262,,,,
