year,lnx,lny
1978,4.89485,4.75445
1979,5.07954,4.90156
1980,5.25384,5.08883
1981,5.40896,5.25123
1982,5.59879,5.39454
1983,5.73593,5.51464
1984,5.87296,5.6124
1985,5.98545,5.76016
1986,6.04926,5.87774
1987,6.13686,5.98721
1988,6.3006,6.16689
1989,6.39943,6.28301
1990,6.53131,6.37093
1991,6.56329,6.4294
1992,6.66441,6.49194
1993,6.82611,6.646
1994,7.10743,6.92442
1995,7.36372,7.17809
1996,7.56325,7.36017
1997,7.64497,7.38845
1998,7.67879,7.37168
1999,7.70088,7.36353
2000,7.7202,7.42064
2001,7.76913,7.46221
2002,7.8144,7.51425
