time,milk
01Jan62,589 
01Feb62,561 
01Mar62,640 
01Apr62,656 
01May62,727 
01Jun62,697 
01Jul62,640 
01Aug62,599 
01Sep62,568 
01Oct62,577 
01Nov62,553 
01Dec62,582 
01Jan63,600 
01Feb63,566 
01Mar63,653 
01Apr63,673 
01May63,742 
01Jun63,716 
01Jul63,660 
01Aug63,617 
01Sep63,583 
01Oct63,587 
01Nov63,565 
01Dec63,598 
01Jan64,628 
01Feb64,618 
01Mar64,688 
01Apr64,705 
01May64,770 
01Jun64,736 
01Jul64,678 
01Aug64,639 
01Sep64,604 
01Oct64,611 
01Nov64,594 
01Dec64,634 
01Jan65,658 
01Feb65,622 
01Mar65,709 
01Apr65,722 
01May65,782 
01Jun65,756 
01Jul65,702 
01Aug65,653 
01Sep65,615 
01Oct65,621 
01Nov65,602 
01Dec65,635 
01Jan66,677 
01Feb66,635 
01Mar66,736 
01Apr66,755 
01May66,811 
01Jun66,798 
01Jul66,735 
01Aug66,697 
01Sep66,661 
01Oct66,667 
01Nov66,645 
01Dec66,688 
01Jan67,713 
01Feb67,667 
01Mar67,762 
01Apr67,784 
01May67,837 
01Jun67,817 
01Jul67,767 
01Aug67,722 
01Sep67,681 
01Oct67,687 
01Nov67,660 
01Dec67,698 
01Jan68,717 
01Feb68,696 
01Mar68,775 
01Apr68,796 
01May68,858 
01Jun68,826 
01Jul68,783 
01Aug68,740 
01Sep68,701 
01Oct68,706 
01Nov68,677 
01Dec68,711 
01Jan69,734 
01Feb69,690 
01Mar69,785 
01Apr69,805 
01May69,871 
01Jun69,845 
01Jul69,801 
01Aug69,764 
01Sep69,725 
01Oct69,723 
01Nov69,690 
01Dec69,734 
01Jan70,750 
01Feb70,707 
01Mar70,807 
01Apr70,824 
01May70,886 
01Jun70,859 
01Jul70,819 
01Aug70,783 
01Sep70,740 
01Oct70,747 
01Nov70,711 
01Dec70,751 
01Jan71,804 
01Feb71,756 
01Mar71,860 
01Apr71,878 
01May71,942 
01Jun71,913 
01Jul71,869 
01Aug71,834 
01Sep71,790 
01Oct71,800 
01Nov71,763 
01Dec71,800 
01Jan72,826 
01Feb72,799 
01Mar72,890 
01Apr72,900 
01May72,961 
01Jun72,935 
01Jul72,894 
01Aug72,855 
01Sep72,809 
01Oct72,810 
01Nov72,766 
01Dec72,805 
01Jan73,821 
01Feb73,773 
01Mar73,883 
01Apr73,898 
01May73,957 
01Jun73,924 
01Jul73,881 
01Aug73,837 
01Sep73,784 
01Oct73,791 
01Nov73,760 
01Dec73,802 
01Jan74,828 
01Feb74,778 
01Mar74,889 
01Apr74,902 
01May74,969 
01Jun74,947 
01Jul74,908 
01Aug74,867 
01Sep74,815 
01Oct74,812 
01Nov74,773 
01Dec74,813 
01Jan75,834 
01Feb75,782 
01Mar75,892 
01Apr75,903 
01May75,966 
01Jun75,937 
01Jul75,896 
01Aug75,858 
01Sep75,817 
01Oct75,827 
01Nov75,797 
01Dec75,843 
